week,ACCESS1.0,CanESM2,CCSM4,CNRM.CM5,CSIRO.Mk3.6.0,GFDL.ESM2G,inmcm4,MIROC5,MPI.ESM.LR,MRI-CGCM3,HadGEM2.CC,HadGEM2-ES,month,stweek,endweek,year,holiday,season,decade,cdd1,cdd2,cdd3,cdd4,cdd5,cdd6,cdd7,cdd8,cdd9,cdd10,cdd11,cdd12
1,70.49992204,105.5499199,129.7999239,38.14992213,116.9249233,202.2749254,105.4249237,237.1999253,33.02492195,135.1249225,101.5249242,67.84992409,1,1/1/2010,1/7/2010,2010,1,Rainy,2020s,14,14,14,14,15,14,14,14,14,14,14,14
2,97.34993649,145.7749348,179.2249355,52.62493324,161.3749352,279.2499428,145.4999332,327.4249382,45.54993391,186.4749355,140.1249352,93.59993458,1,1/8/2010,1/14/2010,2010,0,Rainy,2020s,13,13,13,13,14,13,13,13,13,13,13,13
3,15.89995533,23.77495632,29.2749548,8.599955529,26.3499561,45.59995592,23.74995574,53.47495592,7.449955389,30.4499557,22.89995494,15.27495497,1,1/15/2010,1/21/2010,2010,0,Rainy,2020s,15,15,15,15,16,15,15,15,15,15,15,15
4,13.97494435,20.89994431,25.72494513,7.549944475,23.17494398,40.07494473,20.84994411,46.99994457,6.52494432,26.77494448,20.12494469,13.44994426,1,1/22/2010,1/28/2010,2010,0,Rainy,2020s,17,17,17,18,17,17,17,17,19,17,17,17
5,0,0,0,0,0,0,0,0,0,0,0,0,2,1/29/2010,2/4/2010,2010,0,Rainy,2020s,18,18,18,19,18,18,18,18,20,18,18,18
6,85.49996996,52.97496796,80.974967,123.0249658,181.2249746,78.3749671,144.5999651,168.2749624,82.57496881,139.4749708,259.4249716,152.3999662,2,2/5/2010,2/11/2010,2010,0,Rainy,2020s,22,22,22,23,22,22,22,22,24,22,22,22
7,0,0,0,0,0,0,0,0,0,0,0,0,2,2/12/2010,2/18/2010,2010,0,Rainy,2020s,26,26,26,27,26,26,26,26,28,26,26,26
8,67.62496662,41.89996672,64.0499649,97.32496643,143.3499737,61.97496605,114.3749695,133.0749702,65.32496738,110.2999649,205.1749725,120.5249672,2,2/19/2010,2/25/2010,2010,0,Rainy,2020s,29,29,29,30,29,29,29,29,31,29,29,29
9,28.79996753,24.52496624,36.99996614,32.87496674,42.79996634,30.54996681,38.74996638,55.4249692,32.47496724,39.27496791,59.69996548,37.99996829,3,2/26/2010,3/4/2010,2010,0,Rainy,2020s,32,32,32,33,32,32,32,32,34,32,32,32
10,134.8499432,151.1999474,226.2999458,107.0499468,100.4999456,165.6249466,126.8499451,252.3499527,177.1999435,141.3749485,128.0499458,104.724947,3,3/5/2010,3/11/2010,2010,0,Rainy,2020s,33,33,33,34,33,33,33,33,35,33,33,33
11,37.89995551,42.49995553,63.64995551,30.09995639,28.27495503,46.59995651,35.67495668,70.97495604,49.84995532,39.77495658,36.02495694,29.44995499,3,3/12/2010,3/18/2010,2010,0,Rainy,2020s,35,35,35,36,35,35,35,35,37,35,35,35
12,15.89997768,17.84997749,26.67497826,12.62497735,11.84997821,19.52497816,14.94997835,29.74997902,20.89997864,16.6749773,15.09997749,12.34997773,3,3/19/2010,3/25/2010,2010,0,Rainy,2020s,37,37,37,37,37,37,37,37,38,37,37,37
13,2.39998889,1.349988818,2.124988794,2.349988937,2.224988937,2.724988937,2.999988794,0.699988842,0.749988854,1.14998889,1.52498889,0.474988818,4,3/26/2010,4/1/2010,2010,0,Dry,2020s,40,40,40,40,40,40,40,40,40,40,40,40
