"Location","Scenario","Var","Month","Decade","Min","Max"
"Kamloops, British Columbia","RCP 4.5","Precipitation","Jan","2010-2019",12,74
"Kamloops, British Columbia","RCP 4.5","Precipitation","Feb","2010-2019",7,25
"Kamloops, British Columbia","RCP 4.5","Precipitation","Mar","2010-2019",4,19
"Kamloops, British Columbia","RCP 4.5","Precipitation","Apr","2010-2019",6,34
"Kamloops, British Columbia","RCP 4.5","Precipitation","May","2010-2019",9,40
"Kamloops, British Columbia","RCP 4.5","Precipitation","Jun","2010-2019",8,54
"Kamloops, British Columbia","RCP 4.5","Precipitation","Jul","2010-2019",5,82
"Kamloops, British Columbia","RCP 4.5","Precipitation","Aug","2010-2019",6,78
"Kamloops, British Columbia","RCP 4.5","Precipitation","Sep","2010-2019",5,65
"Kamloops, British Columbia","RCP 4.5","Precipitation","Oct","2010-2019",8,31
"Kamloops, British Columbia","RCP 4.5","Precipitation","Nov","2010-2019",8,53
"Kamloops, British Columbia","RCP 4.5","Precipitation","Dec","2010-2019",10,63
"Kamloops, British Columbia","RCP 4.5","Precipitation","Jan","2020-2029",3,58
"Kamloops, British Columbia","RCP 4.5","Precipitation","Feb","2020-2029",5,23
"Kamloops, British Columbia","RCP 4.5","Precipitation","Mar","2020-2029",5,21
"Kamloops, British Columbia","RCP 4.5","Precipitation","Apr","2020-2029",5,28
"Kamloops, British Columbia","RCP 4.5","Precipitation","May","2020-2029",13,43
"Kamloops, British Columbia","RCP 4.5","Precipitation","Jun","2020-2029",6,67
"Kamloops, British Columbia","RCP 4.5","Precipitation","Jul","2020-2029",5,54
"Kamloops, British Columbia","RCP 4.5","Precipitation","Aug","2020-2029",3,52
"Kamloops, British Columbia","RCP 4.5","Precipitation","Sep","2020-2029",4,58
"Kamloops, British Columbia","RCP 4.5","Precipitation","Oct","2020-2029",4,27
"Kamloops, British Columbia","RCP 4.5","Precipitation","Nov","2020-2029",3,47
"Kamloops, British Columbia","RCP 4.5","Precipitation","Dec","2020-2029",10,62
"Kamloops, British Columbia","RCP 4.5","Precipitation","Jan","2030-2039",10,56
"Kamloops, British Columbia","RCP 4.5","Precipitation","Feb","2030-2039",4,36
